日期,值,涨跌额,涨跌幅
2020-04-30,997.15,-82.46,-7.64%
2020-04-23,1079.61,-62.84,-5.50%
2020-04-16,1142.45,-70.13,-5.78%
2020-04-09,1212.58,-65.43,-5.12%
2020-04-02,1278.01,-60.18,-4.50%
2020-03-26,1338.19,-70.25,-4.99%
2020-03-19,1408.44,-22.27,-1.56%
2020-03-12,1430.71,50.26,3.64%
2020-03-05,1380.45,102.2,8.00%
2020-02-27,1278.25,143.0,12.60%
2020-02-20,1135.25,138.2,13.86%
2020-02-13,997.05,143.96,16.88%
2020-02-06,853.09,76.24,9.81%
2020-02-02,776.85,177.57,29.63%
2020-01-22,599.28,103.22,20.81%
2020-01-16,496.06,81.73,19.73%
2020-01-09,414.33,55.97,15.62%
2020-01-02,358.36,41.31,13.03%
2019-12-26,317.05,18.76,6.29%
2019-12-19,298.29,5.97,2.04%
2019-12-12,292.32,0.92,0.32%
2019-12-05,291.4,6.12,2.15%
2019-11-28,285.28,-3.75,-1.30%
2019-11-21,289.03,-29.15,-9.16%
2019-11-14,318.18,-27.45,-7.94%
2019-11-07,345.63,-28.71,-7.67%
2019-10-31,374.34,-30.12,-7.45%
2019-10-24,404.46,-31.2,-7.16%
2019-10-17,435.66,-48.76,-10.07%
2019-10-10,484.42,2.97,0.62%
2019-09-26,481.45,-47.45,-8.97%
2019-09-19,528.9,-20.71,-3.77%
2019-09-12,549.61,-38.7,-6.58%
2019-09-05,588.31,-23.15,-3.79%
2019-08-29,611.46,-21.78,-3.44%
2019-08-22,633.24,-6.17,-0.96%
2019-08-15,639.41,-6.13,-0.95%
2019-08-08,645.54,9.87,1.55%
2019-08-01,635.67,15.96,2.58%
2019-07-25,619.71,19.89,3.32%
2019-07-18,599.82,16.83,2.89%
2019-07-11,582.99,3.65,0.63%
2019-07-04,579.34,8.27,1.45%
2019-06-27,571.07,10.15,1.81%
2019-06-20,560.92,6.18,1.11%
2019-06-13,554.74,13.15,2.43%
2019-06-06,541.59,-12.3,-2.22%
2019-05-30,553.89,-18.17,-3.18%
2019-05-23,572.06,-28.31,-4.72%
2019-05-16,600.37,-34.78,-5.48%
2019-05-09,635.15,-18.2,-2.79%
2019-05-06,653.35,0.0,0.00%
